english;turkish;level;part_of_speech;;;;
a ;"bir
-de,da";A1 ;ind. article;;;;
abandon ;"terk etmek, býrakmak
-vazgeçmek, yarým býrakmak";B2 ;verb;;;; 
ability ;yetenek, kapasite;A2 ;noun;;;;
able ;-ebilmek;A2 ;adjective;;;;
abolish ; (yasa, kural vb.) yürürlükten kaldýrmak, son vermek;C1 ;verb;;;;
abortion ;çocuk aldýrma, kürtaj;C1 ;noun;;;;
about ;"yaklaþýk, aþaðý yukarý
…üzere";A1 ;adverb;;;;
about ;hakkýnda, üzerine, ile ilgili;A1 ;preposition;;;;
above ;"üstteki, yukarýdaki
(belgede vb.) yukarýdaki,
 sözü edilen)";A1 ;adverb;;;;
above ;yukarýsýndaki, üzerinde;A1 ;preposition;;;;
abroad ;yurt dýþýna, yurt dýþýnda;A2 ;adverb;;;;
absence ;yokluk, (bir yerde) bulunmayýþ, devamsýzlýk;C1 ;noun;;;;
absent ;bulunmayan, gelmeyen;C1 ;adjective;;;;
absolute ;"tam, kesin, salt
mutlak, reel";B2 ;adjective;;;;
absolutely ;"kesinlikle; tamamen";B1 ;adverb;;;;
absorb ;"emmek, içe çekmek
özümsemek, hazmetmek";B2 ;verb;;;;
abstract ;soyut, kuramsal;B2 ;adjective;;;;
absurd ;saçma, gülünç, anlamsýz;C1 ;adjective;;;;
abundance ;bolluk, zenginlik;C1 ;noun;;;;
abuse ;"kötüye kullanma, suistimal etme
taciz, kötü muamele";C1 ;noun;;;;
abuse ;"kötüye kullanmak, suistimal etmek
taciz etmek, kötü muamele
etmek";C1 ;verb;;;;
academic ;akademik;B1 ;adjective;;;;
academic ;akademisyen, öðretim üyesi;B2 ;noun;;;;
academy ;"akademi, yüksek okul
kurum";C1 ;noun;;;;
accelerate ;"hýzlanmak; hýzlandýrmak";C1 ;verb;;;;
accent ;aksan, þive;B2 ;noun;;;;
accept ;"kabul etmek, almak, evet demek; razý olmak
boyun eðmek,inanmak";A2 ;verb;;;;
acceptable ;"kabul edilebilir
uygun";B2 ;adjective;;;;
acceptance ;"kabul, kabul görme; razý olma, sineye çekme";C1 ;noun;;;;
access ;"geçiþ, giriþ, eriþme, ulaþma
giriþ hakký, kullanma imkaný
kullanma izni";B1 ;noun;;;;
access ; (bilgisayar) eriþmek;B1 ;verb;;;;
accessible ;"ulaþýlabilir, gidilebilir, eriþilebilir
anlaþýlabilir, inceliðine varýlabilir";C1 ;adjective;;;;
accident ;kaza;A2 ;noun;;;;
accidentally ;kaza eseri, kaza ile, tesadüfen;B2 ;adverb;;;;
accommodate ;yerleþtirmek, kalacak yer saðlamak;B2 ;verb;;;;
accommodation ;kalacak yer, yatacak yer;B1 ;noun;;;;
